chembl_id,smiles,pIC50,n
CHEMBL154580,C=CC(=O)c1ccc2ccccc2c1,5.91,1
CHEMBL354349,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.[Cl-],5.275,2
CHEMBL1382627,Nc1ccc(S(=O)(=O)[N-]c2ncccn2)cc1.[Ag+],6.12,1
CHEMBL2316746,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)c1nc2ccccc2s1,7.03,1
CHEMBL213543,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C,6.54,1
CHEMBL4796938,O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC1CCCCC1)NC(=O)c1cc2ccccc2[nH]1,7.28,18
CHEMBL4764751,O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1cccc(F)c1)NC(=O)c1cc2ccccc2[nH]1,7.4,14
CHEMBL4857345,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C(=O)NC(C)C,7.19,1
CHEMBL2402501,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)c1nc2ccccc2s1,5.0,1
CHEMBL4868590,CC(C)(C)C(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,5.19,2
CHEMBL92708,CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,4.975,8
CHEMBL4850298,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,6.4,5
CHEMBL3559293,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)O,7.52,5
CHEMBL4518490,CCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,5.5,4
CHEMBL64925,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,5.41,9
CHEMBL4777223,COc1cccc2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)CO)cc12,8.1,7
CHEMBL231813,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,4.97,3
CHEMBL4852855,C[C@@H](OC(C)(C)C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,6.98,6
CHEMBL4868572,CC(C)C[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,4.0,1
CHEMBL4859153,CC(C)C[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,4.0,1
CHEMBL4846937,CC[C@@H]1NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC2CC2)NC(=O)[C@H](C(C)(C)C)NC1=O,4.0,1
CHEMBL4873791,C[C@@H](O)[C@@H]1NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC2CC2)NC(=O)[C@H]([C@@H](C)O)NC1=O,4.0,1
CHEMBL4871930,CC(C)C[C@@H]1NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC1=O,4.0,1
CHEMBL4855260,CC(C)C[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC1=O,4.0,1
CHEMBL4864163,CC(C)C[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC1=O,4.0,1
CHEMBL4867088,CC[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC2CC2)NC(=O)[C@H](C(C)(C)C)NC1=O,4.0,1
CHEMBL4872397,CC[C@@H]1NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC2CC2)NC(=O)[C@H](C(C)(C)C)NC1=O,4.0,1
CHEMBL4851348,CC(C)C[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC1=O,4.0,1
CHEMBL4851196,CC(C)C[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC1=O,4.0,1
CHEMBL4876522,CC(C)C[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](CCC(=O)O)NC1=O,4.0,1
CHEMBL4858748,CC(C)C[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](CCC(=O)O)NC1=O,4.0,1
CHEMBL4848940,CC(C)C[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](CC(N)=O)NC1=O,4.0,1
CHEMBL4847752,NCCCC[C@@H]1NC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC1=O,4.0,1
CHEMBL4873945,CC(C)C[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC1=O,4.0,1
CHEMBL4846266,CC[C@@H]1NC(=O)[C@@H](N)CCNC(=O)[C@@H]2CSC(=N2)c2cccc(n2)C2=N[C@@H](CS2)C(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)(C)C)NC1=O,4.0,1
CHEMBL4877763,CC[C@H](N)C(=O)N[C@H](C(=O)N[C@@H](CC1CC1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc1ccnc(C#N)c1)C(N)=O)C(C)(C)C,4.0,1
CHEMBL4877806,CC[C@H](NC(C)=O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(N)=O)C(C)(C)C,4.0,1
CHEMBL4873357,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H]1CSCN1)C(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccnc(C#N)c1)C(N)=O,4.0,1
CHEMBL4875501,CC(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccccc1)C(N)=O)C(C)C)[C@@H](C)O,4.15,1
CHEMBL4877358,N=C(N/N=C/c1ccccc1O)c1nonc1NCNc1nonc1C(=N)N/N=C/c1ccccc1O,7.08,2
CHEMBL4869416,COc1cc(C(NC2=NC(=O)C(CC(=O)Nc3ccc(C(=O)O)cc3)S2)c2c(O)[nH]c(=O)[nH]c2=O)ccc1O,6.71,2
CHEMBL4848534,Cn1cc(SCC(=O)NCc2ccccc2)c2ccccc21,4.57,1
CHEMBL4864930,Cn1cc(SCC(=O)N(Cc2ccccc2)Cc2ccccc2)c2ccccc21,4.91,1
CHEMBL4850314,CN(C)CCOc1ccc(CNC(=O)CSc2cn(C)c3ccccc23)cc1,5.05,1
CHEMBL4851261,COc1ccccc1CNC(=O)CSc1cn(C)c2ccccc12,5.01,1
CHEMBL4860368,Cn1cc(SCC(=O)NCc2ccc(Cl)c(Cl)c2)c2ccccc21,5.12,1
CHEMBL4854844,O=C(CSc1c[nH]c2ccccc12)NCc1ccccc1,5.17,1
CHEMBL4863973,O=C(CSc1c[nH]c2ccccc12)NCc1ccc(C(F)(F)F)cc1,5.1,1
CHEMBL4855167,CN(C)CCOc1ccc(CNC(=O)CSc2c[nH]c3ccccc23)cc1,5.04,1
CHEMBL4852069,COc1ccccc1CN(C)C(=O)CSc1c[nH]c2ccccc12,5.12,1
CHEMBL4877143,C[C@@H](NC(=O)CSc1c[nH]c2ccccc12)c1ccccc1,5.17,1
CHEMBL4857654,COc1ccccc1CNC(=O)CSc1c[nH]c2cccc(Br)c12,5.06,1
CHEMBL4870400,O=C(CSc1c[nH]c2cccc(Br)c12)NCc1ccc(Cl)c(Cl)c1,5.14,1
CHEMBL4854494,COc1ccccc1CNC(=O)CSc1c[nH]c2ccc(Br)cc12,4.97,1
CHEMBL4874978,O=C(CSc1c[nH]c2ccc(Br)cc12)NCc1ccc(Cl)c(Cl)c1,5.01,1
CHEMBL4852238,COc1ccccc1CNC(=O)CSc1c[nH]c2cc(Br)ccc12,5.0,1
CHEMBL4846173,O=C(CSc1c[nH]c2cc(Br)ccc12)NCc1ccc(Cl)c(Cl)c1,5.06,1
CHEMBL4875555,COc1ccccc1CNC(=O)CSc1c[nH]c2c(Br)cccc12,5.15,1
CHEMBL4863334,O=C(CSc1c[nH]c2c(Br)cccc12)NCc1ccc(Cl)c(Cl)c1,5.34,1
CHEMBL4065616,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,5.8,4
CHEMBL4865625,CN(Cc1ccccc1)C(=O)CSc1c[nH]c2cccc(Br)c12,5.33,1
CHEMBL4854368,CN(Cc1ccccc1)C(=O)CSc1c[nH]c2c(Br)cccc12,4.68,1
CHEMBL4874748,O=C(CSc1c[nH]c2c(Br)cccc12)N(Cc1ccccc1)Cc1ccccc1,5.15,1
