id,smiles,pIC50,n,source
CHEMBL5441655,O=C(O)[C@@H](CC(F)F)Nc1ncnc2[nH]ccc12,4.06,1,ChEMBL
ALP-POS-902f21bb-2,Nc1nn(C(=O)C2CCOc3ccc(Cl)cc32)c2ccncc12,4.06,1,Moonshot
BEN-DND-61647d40-13,O=C(Cn1cnc2ccccc21)Nc1cccc(Cl)c1,4.06,3,Moonshot
RAL-MED-2de63afb-1,O=C(Cc1cccnc1)Nc1cccc(OC2CC(=O)N2)c1,4.05,1,Moonshot
CHEMBL5565663,O=C(c1cccnc1)N1CCN(Cc2cc(Cl)cc(Cl)c2OC(F)F)CC1,4.05,1,ChEMBL
CHEMBL5570014,O=C(c1cccnc1)N1CCN(Cc2cccc(Cl)c2Cl)CC1,4.05,1,ChEMBL
CHEMBL5575889,O=C(Cc1cccnc1)N1CCc2c(Cl)cc(Cl)cc2C1,4.05,1,ChEMBL
CHEMBL5414823,O=C(O)C1=C(Cl)CS[C@@H]2[C@H](NC(=O)[C@H](Cc3ccccc3)NC(=O)c3cc4ccccc4[nH]3)C(=O)N12,4.05,1,ChEMBL
ALP-POS-ced8ea4d-28,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1cocn1)c1ccccc1,4.05,1,Moonshot
CHEMBL5178853,CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(N)=O)C2(C)C,4.05,1,ChEMBL
CHEMBL5441466,O=C(O)C[C@@H](NC(=O)c1ccnc2ncccc12)c1ccc(Br)cc1,4.04,1,ChEMBL
LON-WEI-adc59df6-32,C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCC1CCCO1)c1cccnc1,4.04,1,Moonshot
MAT-POS-8695a11f-1,O=C1N(c2cncc3ccccc23)CC[C@@]1(O)c1cccc(Cl)c1,4.04,1,Moonshot
CHEMBL5266928,O=C(CCc1ccccc1)NCc1nc(-c2ccc(C(F)(F)F)cc2)no1,4.04,1,ChEMBL
CHEMBL5442162,C[C@H]1C[C@H]1c1nnc(Nc2ccc([C@@H](CC(=O)O)NC(=O)c3c[nH]c4ncncc34)cc2)o1,4.04,1,ChEMBL
CHEMBL5441789,O=C(O)[C@H](CC1CCCCC1)Nc1ncnc2[nH]ccc12,4.04,1,ChEMBL
CHEMBL5441608,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(c1)OCCO2,4.04,1,ChEMBL
EDG-MED-5d232de5-2,O=C(Nc1cncc2ccc(F)cc12)[C@H]1CCOc2ccc(Cl)cc21,4.04,1,Moonshot
ALP-POS-305f6ec3-26,Cn1nc(C(=O)N2CCOCC2)cc1C(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,4.04,1,Moonshot
CHEMBL5556738,CC(C)CCn1sc2c(Br)cccc2c1=O,4.03,1,ChEMBL
BRU-THA-92256091-19,COc1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,4.03,1,Moonshot
ALP-POS-e980f4ea-19,COc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,4.03,1,Moonshot
EDJ-MED-6e43a462-11,O=C(Cc1cccc(Cl)c1)Nc1cnc2n1CCCC2,4.03,1,Moonshot
